Country,Asse7,Completion #,Activation type,Supplier,Environment,Running status,Installation date,Start date,Failure date,ACLS Date,POOH date,Last Update,Run life,Start-up delay,Status Check,Date/Time Check,Ordinal Check,Max Installs,Last Install,Checks,Stop Index,Stop Group,Reason for Stop or POOH,Class,ESP Fail?,Tubing size (inch),Tubing Weight (PPF),Tubing Length (m MD RT),Intake depth (m MD),Intake depth (m TVD),Deviation at ESP (°),Gauge depth (m MD),Max well deviation (°),Distance intake perf (MD) (formula),Distance intake pump (TVD) (formula),Casing size (inch) (formula),Casing Weight (PPF) (formula),Venting (No/Flare/Flowline),Packer (Y/N),Packer Depth (m MD RT),Packer Vented (text),Shroud (Y/N),Y-Tool (Y/N),Pump Placement Rel. Producing Zone (text),Kevlar Protection (Y/N),Sandguard,Tubing Check Valve,Total number of stages,Pump series,Pump model,Number of pumps,Intake,Gas Device,Motor series,Motor type,PMM (Y/N),Number of motors,Total HP,Protector information,Number of protectors,Cable type (F/R),Cable size AWG,Lead (Y/N),Cable kV,Cable Armor,Cap Tube,Cable Details,Electrical supply (Grid/Group Electrogen/Turbine),Surface eqpt (Switchboard/MVD/VSD),Drive manufacturer,Drive,Drive rating (kVA),Total stops,Average Production (bwpd),Average Production (bopd),Average Production (bfpd),BSW (%),Sand (Y/N),GOR (scf/d),PIP (psi),THP (psi),Temperature intake (°C),H2S (Y/N),Chemical injection (Y/N),Usage Motor,Usage Pump,Usage Protector,Usage Intake,Usage Round,Usage Flat,Usage Gauge,Pump is NEW?
ARGENTINA,Y8PMX2,1,ESP,Unknown,Offshore,Pulled,24/01/1992,,09/10/1995,,25/10/1995,,1354,0,OK,OK,New Well,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,50,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,2,ESP,Unknown,Offshore,Pulled,29/10/1995,,29/10/1995,,07/11/1995,,0,0,OK,OK,Normal,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,130,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,3,ESP,Unknown,Offshore,Pulled,09/11/1995,,11/11/1995,,08/12/1995,,2,0,OK,OK,Normal,14,No,OK,48,Well,Low Productivity,N,No,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,90,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,4,ESP,Unknown,Offshore,Pulled,12/12/1995,,12/12/1995,,14/12/1995,,0,0,OK,OK,Normal,14,No,OK,48,Well,Low Productivity,N,No,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,63,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,5,ESP,Unknown,Offshore,Pulled,18/12/1995,,29/05/1996,,30/05/1996,,163,0,OK,OK,Normal,14,No,OK,48,Well,Low Productivity,N,No,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,125,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,6,ESP,Unknown,Offshore,Pulled,01/06/1996,,09/01/2000,,09/01/2000,,1317,0,OK,OK,Normal,14,No,OK,39,Unknown,Unknown,E,No,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,225,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,7,ESP,Unknown,Offshore,Pulled,13/01/2000,,27/01/2001,,08/02/2001,,380,0,OK,OK,Normal,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,225,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,8,ESP,Unknown,Offshore,Pulled,12/02/2001,,11/02/2002,,03/03/2002,,364,0,OK,OK,Normal,14,No,OK,14,Electric,Cable Failure,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,250,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,9,ESP,Unknown,Offshore,Pulled,07/03/2002,,08/12/2003,,09/12/2003,,641,0,OK,OK,Normal,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,225,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,10,ESP,Unknown,Offshore,Pulled,13/12/2003,,27/05/2004,,31/05/2004,,166,0,OK,OK,Normal,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,280,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,11,ESP,Unknown,Offshore,Pulled,04/06/2004,,26/07/2004,,29/07/2004,,52,0,OK,OK,Normal,14,No,OK,22,Human,Installation Mistake,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,,,,,,,N,,304,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,12,ESP,QUAKER,Offshore,Pulled,02/08/2004,,18/10/2005,,25/10/2005,,442,0,OK,OK,Normal,14,No,OK,16,Electric,Electric Failure - Unspecified,F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,GC2200,,,,,,N,,304,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
ARGENTINA,Y8PMX2,13,ESP,QUAKER,Offshore,Pulled,29/10/2005,,26/05/2007,,18/06/2007,,574,0,OK,OK,Normal,14,No,OK,35,Mechanical,"Pump Stuck, including scale",F,Yes,"3,5",,,,,,,,0,0,"9,625",47,,,,,,,,,N,,,,GN3200,,,,,,N,,250,,,,,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,Unknown
